fname,iou_score_otsu,dice_score_otsu,iou_score_niblack,dice_score_niblack
1606511042.bmp,0.002986304191123468,2.3352256713773804e-05,0.0008726462999044602,6.8383172728672815e-06
1100211016.bmp,0.008836630106805882,6.869982783152904e-05,0.0028901960477156485,2.2602877548451472e-05
1905012011.bmp,0.03494294248295933,0.0002648090853457917,0.01779966838973959,0.00013716377260501248
1100212009.bmp,0.00236838018325827,1.8531640878065602e-05,0.0009332925336597307,7.313116163755058e-06
516808003.bmp,0.015552670204358136,0.00012011363927432615,0.00406900320498619,3.1784419721626743e-05
1901208051.bmp,0.0014886399687629645,1.1658252657269351e-05,0.0006215167045350342,4.87161303100582e-06
1903711018.bmp,0.019809388783868936,0.00015234979877256947,0.008414889167712254,6.544838978094306e-05
1901208025.bmp,0.008169934640522876,6.355864874312772e-05,0.006622304348290484,5.1597944654130446e-05
1101609180.bmp,0.014400630027563706,0.00011134271265207686,0.004224457297502455,3.299361828026887e-05
1101609177.bmp,0.0014423721991144505,1.129642947448616e-05,0.00033370843195840285,2.6164479042404407e-06
1903710012.bmp,0.005188128067305445,4.048117898698585e-05,0.001743829827345137,1.3653287674771308e-05
1901212023.bmp,0.006059226808522744,4.723712705123898e-05,0.002087539447635102,1.6338750626366716e-05
1903709071.bmp,0.035270656639677087,0.0002672079994939794,0.012561180134852997,9.72968960434363e-05
1903711046.bmp,0.0427293284829417,0.0003213988318417055,0.019587870483882597,0.00015067887838193211
1901209021.bmp,0.005828536369706047,4.544910895825858e-05,0.003370411336268965,2.6345802524343867e-05
1901106043.bmp,0.017738759731931574,0.00013670259285979527,0.009356034260997152,7.270047275666386e-05
614410017.bmp,0.0013812724199068157,1.0818565789192172e-05,0.000528607946476473,4.143754256818447e-06
1903711057.bmp,0.016469540887701896,0.00012707992174035708,0.0068503416354419215,5.336261752910478e-05
1100212024.bmp,0.005745810346622255,4.480772251356712e-05,0.0021204671173939765,1.659592353608621e-05
1903310030.bmp,0.020822020801136126,0.0001599788834292284,0.0077487448121492854,6.030716428848056e-05
1905010051.bmp,0.04371816638370119,0.00032852506598410005,0.019570815450643778,0.00015055020155898695
1905011014.bmp,0.017470081646348282,0.00013466759433844328,0.007360910830246652,5.7310774462289545e-05
1105111004.bmp,0.002918956043956044,2.282714147120927e-05,0.0010666618861091938,8.357061418432096e-06
1901211010.bmp,0.008509453228950708,6.617767381866836e-05,0.0027380620494643357,2.1416357151632287e-05
1106109086.bmp,0.009854634698886162,7.653700828271187e-05,0.004980916030534351,3.8872387982176785e-05
1877510560.bmp,0.01919411321423822,0.00014770696030673926,0.003310498792011988,2.587902393047687e-05
1100911010.bmp,0.004051023606857804,3.1644541387245836e-05,0.001597474468934827,1.2509228348145228e-05
1105108001.bmp,0.01957255343082115,0.0001505633144696537,0.005974505343576977,4.6580569577968996e-05
1903710036.bmp,0.03547789772279568,0.00026872424990161576,0.016555743491689954,0.0001277342333596639
1901208029.bmp,0.004518798710365312,3.528212568860848e-05,0.0017989428684042972,1.4084019484212349e-05
1901205043.bmp,0.0038929857657348656,3.041481724144977e-05,0.002301157674918395,1.8006858868070607e-05
1100211015.bmp,0.047771759322630475,0.00035759740796770354,0.02040696994503567,0.000156853756344094
1816308457.bmp,0.015458937198067632,0.00011940075744855507,0.004241746406528313,3.312807835955191e-05
1101609193.bmp,0.021273582233301228,0.00016337603190944922,0.006817913591342793,5.311172096473799e-05
1905012028.bmp,0.015766170536049798,0.00012173691454320904,0.00943959150534584,7.334367745198744e-05
1901210022.bmp,0.005727785330629165,4.466795803992829e-05,0.002029647062539981,1.5886556388002867e-05
1901208012.bmp,0.0099189459269403,7.703158223013616e-05,0.0027294577748808407,2.1349240110442486e-05
1903709082.bmp,0.045631087703601275,0.0003422726123568192,0.019568151147098516,0.00015053009953153995
1905012014.bmp,0.1337492522006666,0.0009252608023459647,0.0768127713767135,0.0005594780493425311
1100212088.bmp,0.006739858420584121,5.25077399380805e-05,0.0025686798762510196,2.0094891489955636e-05
1806011012.bmp,0.015140845070422536,0.00011698054178313712,0.0054135716983507495,4.223076658662463e-05
1606511049.bmp,0.0085442423457829,6.644593528316917e-05,0.003211887227070694,2.5110619889893738e-05
1100211010.bmp,0.009011982966361866,7.005092163149367e-05,0.0020011728485559302,1.566412669696499e-05
1105108002.bmp,0.014410660789917703,0.00011141916669245813,0.007508275249603057,5.844957781178608e-05
1905008049.bmp,0.07141720167665941,0.000522798135249742,0.04010851958221948,0.0003024459642928668
1903711014.bmp,0.012716014279847091,9.848115752672831e-05,0.007345560726343644,5.719213270706172e-05
1905012017.bmp,0.0784971616955699,0.0005708536240657928,0.0402286038546501,0.00030331646374260425
1901211035.bmp,0.0072096240097246096,5.614131290703472e-05,0.0015785899153802382,1.2361583504472988e-05
1100212072.bmp,0.016271389972981085,0.00012557545764376883,0.006481186224489796,5.05054975979604e-05
1903311007.bmp,0.010849644454218899,8.41819068623896e-05,0.0032731535064762732,2.5588038629293723e-05
1905012031.bmp,0.018758439473011933,0.0001444159967408063,0.010093968166687941,7.837724040827071e-05
1903311008.bmp,0.007351108896087715,5.72350152182085e-05,0.0028245657429645174,2.2091059158639548e-05
1912410009.bmp,0.015003897116134061,0.00011593810109952984,0.005686748767563376,4.434974525895103e-05
1910611084.bmp,0.004300096119795619,3.358183894150044e-05,0.0012905086881599623,1.0108591544668603e-05
1101611266.bmp,0.016358032821431393,0.0001262333670768743,0.005804118026412943,4.525980109738619e-05
1903710008.bmp,0.0025484883440191003,1.9937333811829343e-05,0.0006981751905283349,5.472063388382291e-06
1912210002.bmp,0.0756809586538053,0.0005518143103018248,0.047392095962300526,0.0003548840160840654
1903710026.bmp,0.04716521032310506,0.00035326156233388546,0.02092662140690452,0.0001607660732262415
1901206006.bmp,0.003018575851393189,2.360385469103916e-05,0.0011427231972809047,8.952304874185684e-06
1606511038.bmp,0.004542242858584839,3.5464346510308305e-05,0.0013764414400636222,1.0780780025370768e-05
1903711032.bmp,0.006703296703296703,5.222479778943561e-05,0.0018687437293691458,1.462947482433763e-05
1903312005.bmp,0.02689365412818582,0.00020540648952816677,0.011748804325223539,9.107743395374797e-05
1905012001.bmp,0.044523677279486855,0.0003343201495494077,0.02489057163175977,0.00019047903753280205
1903310036.bmp,0.025038155343810584,0.00019158085769519075,0.009942507084241044,7.721275931307356e-05
1903308003.bmp,0.06438545078434753,0.0004744370823072123,0.02611231271727423,0.0001995906784727699
534010122.bmp,0.020559025289239276,0.00015799895270614516,0.008098406936882435,6.300666355084909e-05
1802606150.bmp,0.006578514571409776,5.125898473891877e-05,0.0024148950728090863,1.8894724734564546e-05
1903304027.bmp,0.015771893733271397,0.00012178041948486712,0.005502264957594746,4.29188682902399e-05
1905009006.bmp,0.009901682936216367,7.689883048563107e-05,0.005454475368128903,4.254812128620114e-05
1100212066.bmp,0.01377416668542234,0.00010656483804364718,0.004889584864657569,3.816308357715303e-05
1903711012.bmp,0.007181505164781112,5.5923912835304076e-05,0.003294313022915783,2.5752911049092456e-05
1903711026.bmp,0.0055147058823529415,4.301537799763416e-05,0.002144874022589053,1.6786536347897778e-05
1903310001.bmp,0.06848898435569412,0.0005027365865399709,0.03155036988876979,0.00023988540812333757
1901211018.bmp,0.011955099930033766,9.265775690424068e-05,0.003907220902140521,3.052559956005853e-05
1903710004.bmp,0.022771621403891943,0.000174624469871616,0.012709832134292566,9.843387982709067e-05
1101609185.bmp,0.015374086476181164,0.00011875531590518832,0.005489710066504914,4.282147207490286e-05
1905012022.bmp,0.038452275828851246,0.0002904191979822232,0.02356726757458868,0.00018058540964141354
1901207007.bmp,0.006851549755301794,5.3371964469520796e-05,0.0018836520924484488,1.4745965632537559e-05
1900608039.bmp,0.01682170110844984,0.00012975225696961886,0.005199411192507338,4.05687619525463e-05
1903310007.bmp,0.013575605680868838,0.00010504923172648413,0.005516141077429648,4.302651128138577e-05
1903709094.bmp,0.04657893640944488,0.00034906587428557164,0.020052599926396006,0.00015418351323422867
1606511021.bmp,0.010342307908493059,8.02857999945458e-05,0.002729767821378236,2.1351658626432716e-05
1903310008.bmp,0.023661852166525065,0.0001812934162335723,0.009942078911904613,7.720946689254248e-05
1903311017.bmp,0.034147327746950326,0.00025897874627877786,0.012788479394931879,9.903528843047208e-05
1901209007.bmp,0.0037735849056603774,2.948547840188707e-05,0.0019090752155325609,1.494460856353893e-05
1903705037.bmp,0.030490488532446576,0.0002320653020966365,0.01035516471106018,8.038458253359698e-05
1105110003.bmp,0.036963775843682274,0.0002795777192559642,0.02035343724830625,0.00015645049658283492
1905008064.bmp,0.04085851523074117,0.00030787944595444346,0.026852342087649722,0.00020509921044815666
1902310020.bmp,0.004578329241589808,3.574481311679229e-05,0.001196421140241365,9.372481782238535e-06
1901206033.bmp,0.016733203091820265,0.00012908087211492783,0.0018572465612655673,1.4539636007224058e-05
1903311009.bmp,0.013697974040902342,0.00010598333356494027,0.004420709322904994,3.451962873897895e-05
1100212032.bmp,0.0025555687626292642,1.9992584146113243e-05,0.0006434091708251348,5.043101659986756e-06
1100911003.bmp,0.01587938275683073,0.00012259740732897503,0.006147353806244177,4.791995871620793e-05
1100212040.bmp,0.007228915662650603,5.629045876723895e-05,0.0021545532892846882,1.6862126820055812e-05
1899212003.bmp,0.007585130991446554,5.904337175339971e-05,0.002619989965995875,2.0495243577248536e-05
1901212020.bmp,0.039324922169424875,0.00029676067179197076,0.014128414699946044,0.00010926732165239391
1100212022.bmp,0.005576954888106435,4.3498234957743585e-05,0.0018146308456487305,1.4206619020315164e-05
1905012012.bmp,0.08475290276717307,0.0006127926898914905,0.03117473389791003,0.00023711569805642688
1100212010.bmp,0.00544502136653954,4.2474773882315307e-05,0.0020633096531550354,1.6149499391071882e-05
1100212039.bmp,0.00807646869294383,6.283734861484173e-05,0.0028706015284426225,2.245007656759824e-05
1100212025.bmp,0.021991071624920283,0.00016876761248255893,0.0076626590959594796,5.9642268654722406e-05
1101610259.bmp,0.017205671499123786,0.0001326638721267677,0.006994818652849741,5.448024334508694e-05
1912211030.bmp,0.013250582287110152,0.0001025670622864045,0.008687959772790762,6.755395492022497e-05
1100212059.bmp,0.014763310791503953,0.0001141060892162384,0.004670151704605372,3.645837467977639e-05
1905012003.bmp,0.028296283726455117,0.0002158246028722145,0.01318522621614671,0.0001020677525435104
1905012024.bmp,0.0336531576686238,0.00025535290314518714,0.011331089616864519,8.787556520815665e-05
1901208009.bmp,0.011675251410350748,9.051382760348479e-05,0.0022836307810401076,1.787002112491783e-05
1903711036.bmp,0.13058814204185162,0.000905918507200265,0.05722125261576667,0.0004245035152788252
1100212005.bmp,0.005927682276229994,4.621766207956371e-05,0.0013188648969453623,1.0330413987036191e-05
1886008433.bmp,0.012277342007922559,9.512499637945727e-05,0.00393995773806016,3.078035601625242e-05
1912212047.bmp,0.0684570683756042,0.0005025173207514638,0.020275644875894873,0.00015586441418253858
1901209008.bmp,0.01428102429415627,0.0001104309663661548,0.008225135509895374,6.398458486323295e-05
1903311021.bmp,0.01779135248639878,0.00013710081065267414,0.008210513333274603,6.387176304398294e-05
1903310035.bmp,0.007356805044666317,5.7279040985199506e-05,0.0031157181131074153,2.436110248043206e-05
1903310039.bmp,0.013945380592678676,0.00010787122872071465,0.005163922668664234,4.0293282867240165e-05
1903711052.bmp,0.037771890937269105,0.0002854674785329069,0.018806639748766264,0.00014478022727594552
1903307023.bmp,0.008624327944657504,6.70634109520971e-05,0.0037779224641700227,2.9519243013556713e-05
1903711054.bmp,0.06522112576587581,0.0004802178899082569,0.02940062982912013,0.00022400722172535712
1912412009.bmp,0.010155462985651665,7.884993251249073e-05,0.0031352441792048416,2.4513295258862533e-05
1100208028.bmp,0.006912657636618403,5.384471257656045e-05,0.0023662206021072153,1.85147828969693e-05
1903711035.bmp,0.03223124792171393,0.00024490064784974254,0.010893298654593328,8.451696793353366e-05
1101611273.bmp,0.003976601446560816,3.106549585765249e-05,0.0011401849082481638,8.932442095686845e-06
1101609200.bmp,0.012818047811318336,9.926137132066014e-05,0.0073662111892747965,5.73517403744065e-05
